CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations
Hartley,Asian,8,7,16
Hartley,Black,98,92,179
Hartley,Hispanic,898,675,1520
Hartley,Other,406,364,758
Hartley,Unknown,518,407,943
Hartley,White,1003,848,1916
Haskell,Asian,20,17,39
Haskell,Black,52,41,90
Haskell,Hispanic,463,329,770
Haskell,Other,153,117,284
Haskell,Unknown,224,207,430
Haskell,White,1389,1178,2526
Hays,Asian,2512,2191,4731
Hays,Black,3893,3362,7198
Hays,Hispanic,40575,33675,74518
Hays,Other,23958,21345,48234
Hays,Unknown,15152,12739,26801
Hays,White,61150,54730,117829
Hemphill,Asian,8,7,12
Hemphill,Black,2,1,2
Hemphill,Hispanic,438,391,716
Hemphill,Other,139,117,274
Hemphill,Unknown,178,157,340
Hemphill,White,917,840,1695
Henderson,Asian,272,233,507
Henderson,Black,1625,1418,3050
Henderson,Hispanic,4063,3453,7436
Henderson,Other,4115,3678,8255
Henderson,Unknown,2229,1851,3807
Henderson,White,22123,19577,42032
Hidalgo,Asian,2804,2498,5525
Hidalgo,Black,1336,1111,2466
Hidalgo,Hispanic,486660,418813,930804
Hidalgo,Other,39850,33267,74055
Hidalgo,Unknown,26788,21460,49137
Hidalgo,White,88692,77653,165667
Hill,Asian,123,112,238
Hill,Black,617,498,1076
Hill,Hispanic,2329,1969,4159
Hill,Other,1691,1501,3285
Hill,Unknown,1307,1029,2248
Hill,White,9550,8518,17554
Hockley,Asian,44,40,82
Hockley,Black,228,192,418
Hockley,Hispanic,4197,3680,7756
Hockley,Other,1063,891,1972
Hockley,Unknown,996,880,1767
Hockley,White,3722,3378,7030
Hood,Asian,256,233,493
Hood,Black,165,149,323
Hood,Hispanic,2543,2242,4767
Hood,Other,4333,3914,9102
Hood,Unknown,1010,829,1835
Hood,White,22410,20404,44034
Hopkins,Asian,149,131,285
Hopkins,Black,853,747,1620
Hopkins,Hispanic,2312,2022,4220
Hopkins,Other,2885,2588,5732
Hopkins,Unknown,788,620,1305
Hopkins,White,8343,7416,16012
Houston,Asian,92,75,160
Houston,Black,2260,2008,4233
Houston,Hispanic,990,822,1751
Houston,Other,1154,1026,2183
Houston,Unknown,531,417,929
Houston,White,4962,4517,9502
Howard,Asian,118,95,209
Howard,Black,224,188,379
Howard,Hispanic,4380,3806,7263
Howard,Other,3045,2804,6031
Howard,Unknown,957,784,1696
Howard,White,4572,4027,8442
Hudspeth,Asian,15,14,29
Hudspeth,Black,40,33,69
Hudspeth,Hispanic,2253,2011,4310
Hudspeth,Other,112,95,210
Hudspeth,Unknown,148,124,281
Hudspeth,White,742,677,995
Hunt,Asian,568,510,1054
Hunt,Black,2470,2114,4636
Hunt,Hispanic,7259,6028,13079
Hunt,Other,5090,4527,10260
Hunt,Unknown,2438,2030,4271
Hunt,White,25239,22419,48628
Hutchinson,Asian,43,35,80
Hutchinson,Black,105,92,194
Hutchinson,Hispanic,1401,1197,2588
Hutchinson,Other,1049,896,2025
Hutchinson,Unknown,844,679,1551
Hutchinson,White,4098,3637,7884
Irion,Asian,2,1,3
Irion,Black,7,6,14
Irion,Hispanic,127,120,263
Irion,Other,140,123,270
Irion,Unknown,24,21,41
Irion,White,360,320,718
Jack,Asian,21,19,37
Jack,Black,160,133,293
Jack,Hispanic,478,408,842
Jack,Other,341,286,663
Jack,Unknown,298,249,541
Jack,White,2285,2061,4263
Jackson,Asian,62,54,111
Jackson,Black,278,239,550
Jackson,Hispanic,1358,1154,2562
Jackson,Other,680,584,1303
Jackson,Unknown,1473,1319,2705
Jackson,White,2866,2623,5842
Jasper,Asian,80,73,157
Jasper,Black,1835,1631,3418
Jasper,Hispanic,764,662,1389
Jasper,Other,1713,1502,3365
Jasper,Unknown,2225,1899,4064
Jasper,White,6917,6179,12957
Jeff Davis,Asian,5,5,9
Jeff Davis,Black,1,1,2
Jeff Davis,Hispanic,414,359,795
Jeff Davis,Other,100,85,200
Jeff Davis,Unknown,94,86,171
Jeff Davis,White,621,576,1311
Jefferson,Asian,7587,6710,13179
Jefferson,Black,31625,27367,62087
Jefferson,Hispanic,21313,17598,39371
Jefferson,Other,21227,18885,43356
Jefferson,Unknown,8143,6769,15623
Jefferson,White,37887,33297,74139
Jim Hogg,Asian,12,3,16
Jim Hogg,Black,6,4,11
Jim Hogg,Hispanic,2599,2056,4882
Jim Hogg,Other,203,170,410
Jim Hogg,Unknown,138,113,255
Jim Hogg,White,395,350,803
Jim Wells,Asian,74,63,143
Jim Wells,Black,60,53,116
Jim Wells,Hispanic,15047,12885,29731
Jim Wells,Other,1812,1535,3684
Jim Wells,Unknown,1553,1233,2838
Jim Wells,White,5800,4958,11285
Johnson,Asian,1017,915,1918
Johnson,Black,3105,2728,5855
Johnson,Hispanic,14072,12035,25846
Johnson,Other,12049,10513,23732
Johnson,Unknown,3738,3051,6614
Johnson,White,47799,42896,91901
Jones,Asian,62,52,113
Jones,Black,879,804,1417
Jones,Hispanic,1472,1117,2410
Jones,Other,1932,1519,3082
Jones,Unknown,650,578,1257
Jones,White,4409,3973,7870
Karnes,Asian,45,43,87
Karnes,Black,577,542,1107
Karnes,Hispanic,3123,2788,5474
Karnes,Other,1123,1032,2171
Karnes,Unknown,665,584,1303
Karnes,White,2864,2640,5355
Kaufman,Asian,1240,1095,2353
Kaufman,Black,8806,7701,16602
Kaufman,Hispanic,15039,12776,27660
Kaufman,Other,8536,7481,16813
Kaufman,Unknown,5726,4665,10411
Kaufman,White,32661,29139,62343
Kendall,Asian,335,299,645
Kendall,Black,215,179,408
Kendall,Hispanic,4914,4289,9178
Kendall,Other,5218,4700,10667
Kendall,Unknown,1694,1376,3021
Kendall,White,17819,16131,34720
Kenedy,Asian,1,1,2
Kenedy,Black,2,2,4
Kenedy,Hispanic,144,125,282
Kenedy,Other,17,12,31
Kenedy,Unknown,45,42,93
Kenedy,White,29,26,63
Kent,Black,2,2,4
Kent,Hispanic,29,26,54
Kent,Other,17,14,33
Kent,Unknown,52,47,101
Kent,White,206,186,377
Kerr,Asian,247,219,449
Kerr,Black,236,197,411
Kerr,Hispanic,3830,3246,6929
Kerr,Other,4178,3663,8216
Kerr,Unknown,1769,1535,3200
Kerr,White,16196,14507,30891
Kimble,Asian,7,7,13
Kimble,Black,5,5,10
Kimble,Hispanic,170,147,350
Kimble,Other,163,150,355
Kimble,Unknown,122,94,218
Kimble,White,1522,1360,2944
King,Asian,3,2,4
King,Hispanic,17,14,28
King,Other,4,2,6
King,Unknown,3,2,5
King,White,31,26,54
Kinney,Asian,7,6,13
Kinney,Black,15,12,28
Kinney,Hispanic,798,669,1452
Kinney,Other,157,135,326
Kinney,Unknown,76,56,133
Kinney,White,816,693,1547
Kleberg,Asian,461,405,880
Kleberg,Black,354,304,681
Kleberg,Hispanic,11818,10349,23642
Kleberg,Other,1706,1488,3517
Kleberg,Unknown,1946,1652,3873
Kleberg,White,3661,3207,7220
Knox,Asian,10,9,18
Knox,Black,46,42,76
Knox,Hispanic,333,284,586
Knox,Other,236,223,454
Knox,Unknown,128,118,246
Knox,White,702,632,1321
La Salle,Asian,14,13,29
La Salle,Black,172,162,299
La Salle,Hispanic,2874,2473,5307
La Salle,Other,354,306,661
La Salle,Unknown,1055,922,2020
La Salle,White,506,456,996
Lamar,Asian,229,201,435
Lamar,Black,2012,1749,3840
Lamar,Hispanic,1184,1003,2114
Lamar,Other,2464,2167,4931
Lamar,Unknown,1869,1677,3923
Lamar,White,12012,10769,23187
Lamb,Asian,6,6,12
Lamb,Black,203,172,360
Lamb,Hispanic,2231,1922,3973
Lamb,Other,549,474,1061
Lamb,Unknown,844,775,1636
Lamb,White,1684,1477,3130
Lampasas,Asian,101,85,191
Lampasas,Black,260,207,466
Lampasas,Hispanic,1250,1079,2294
Lampasas,Other,1764,1575,3482
Lampasas,Unknown,866,710,1462
