Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
5Cat Age Groups,65+,248047,198935
Gender,Female,655162,543514
Gender,Male,588973,451620
Gender,Other,212,186
Gender,Unknown,2462,2011
Race/Ethnicity,Hispanic,541695,440872
Race/Ethnicity,NH White,352622,288006
Race/Ethnicity,NH Asian,32606,28290
Race/Ethnicity,NH Black,54782,38994
Race/Ethnicity,NH Other,168646,134033
Race/Ethnicity,Unknown,96458,67136
MultiCat Age Groups,15-Dec,59016,38378
MultiCat Age Groups,16-18,53315,39846
MultiCat Age Groups,19-29,196816,155870
MultiCat Age Groups,30-39,194814,159569
MultiCat Age Groups,40-49,193267,162418
MultiCat Age Groups,50-59,190928,165101
MultiCat Age Groups,60-64,87521,77195
MultiCat Age Groups,65-75,145568,130141
MultiCat Age Groups,76-85,58070,51495
MultiCat Age Groups,86-95,18320,15946
MultiCat Age Groups,96+,1659,1353
5Cat Age Groups,12+,1391530,1121458
5Cat Age Groups,16+,1328845,1079892
5Cat Age Groups,18+,1292502,1052990
5Cat Age Groups,18-49,616243,501460
5Cat Age Groups,50-64,294907,245134
5Cat Age Groups,65+,249754,200532
Gender,Female,666304,552630
Gender,Male,600649,460789
Gender,Other,211,187
Gender,Unknown,2457,2006
Race/Ethnicity,Hispanic,549962,448775
Race/Ethnicity,NH White,358550,291887
Race/Ethnicity,NH Asian,32857,28497
Race/Ethnicity,NH Black,55833,39801
5Cat Age Groups,50-64,240346,192538
5Cat Age Groups,65+,217473,167856
Gender,Female,499306,399090
Gender,Male,435214,317118
Gender,Other,201,158
Gender,Unknown,2302,1944
Race/Ethnicity,Hispanic,407718,316594
Race/Ethnicity,NH White,282439,224536
Race/Ethnicity,NH Asian,25708,20728
Race/Ethnicity,NH Black,39731,26211
Race/Ethnicity,NH Other,94363,70707
Race/Ethnicity,Unknown,87064,59534
5Cat Age Groups,12+,1073367,834259
5Cat Age Groups,16+,1050796,834205
5Cat Age Groups,18+,1030011,820444
5Cat Age Groups,18-49,455493,363599
5Cat Age Groups,50-64,245861,198857
5Cat Age Groups,65+,220070,170823
Gender,Female,516743,413172
Gender,Male,452693,331764
Gender,Other,210,177
Gender,Unknown,2633,1982
Race/Ethnicity,Hispanic,421335,327438
Race/Ethnicity,NH White,291895,233837
Race/Ethnicity,NH Asian,26572,21487
Race/Ethnicity,NH Black,41443,27707
Race/Ethnicity,NH Other,102239,76315
Race/Ethnicity,Unknown,88795,60311
MultiCat Age Groups,15-Dec,22571,54
MultiCat Age Groups,16-18,33110,22797
MultiCat Age Groups,19-29,142150,109927
MultiCat Age Groups,30-39,147564,119037
MultiCat Age Groups,40-49,153454,125599
MultiCat Age Groups,50-59,158969,133821
MultiCat Age Groups,60-64,75629,65036
MultiCat Age Groups,65-75,130345,114034
MultiCat Age Groups,76-85,51640,44034
MultiCat Age Groups,86-95,14974,11963
MultiCat Age Groups,96+,1146,792
5Cat Age Groups,12+,1093120,858012
5Cat Age Groups,16+,1067237,852352
5Cat Age Groups,18+,1045526,837630
5Cat Age Groups,18-49,464129,373879
5Cat Age Groups,50-64,248539,202089
5Cat Age Groups,65+,221579,172528
Gender,Female,525280,424079
Gender,Male,461416,342631
Gender,Other,211,178
Gender,Unknown,2652,1992
Race/Ethnicity,Hispanic,428692,337253
MultiCat Age Groups,60-64,90727,81131
MultiCat Age Groups,65-75,150187,135278
MultiCat Age Groups,76-85,59975,53431
MultiCat Age Groups,86-95,19023,16645
MultiCat Age Groups,96+,1753,1430
5Cat Age Groups,12+,1492099,1240394
5Cat Age Groups,16+,1420892,1184077
5Cat Age Groups,18+,1380904,1151465
5Cat Age Groups,18-49,660491,557622
5Cat Age Groups,50-64,310098,259008
5Cat Age Groups,65+,263288,208266
Gender,Female,704820,601643
Gender,Male,653926,510059
Gender,Other,208,185
Gender,Unknown,2367,1938
Race/Ethnicity,Hispanic,581495,486181
Race/Ethnicity,NH White,379971,311993
Race/Ethnicity,NH Asian,33323,29222
Race/Ethnicity,NH Black,61503,43844
Race/Ethnicity,NH Other,210967,178877
Race/Ethnicity,Unknown,94062,63708
MultiCat Age Groups,15-Dec,71207,56317
MultiCat Age Groups,16-18,60260,49087
MultiCat Age Groups,19-29,219943,180796
MultiCat Age Groups,30-39,213437,181413
MultiCat Age Groups,19-29,210137,167636
MultiCat Age Groups,40-49,206839,178938
MultiCat Age Groups,50-59,200528,177292
MultiCat Age Groups,60-64,91097,81716
MultiCat Age Groups,65-75,151147,136214
MultiCat Age Groups,76-85,60417,53820
MultiCat Age Groups,86-95,19207,16792
MultiCat Age Groups,96+,1766,1440
5Cat Age Groups,12+,1495293,1241938
5Cat Age Groups,16+,1424472,1185949
5Cat Age Groups,18+,1384551,1153389
5Cat Age Groups,18-49,660512,557625
5Cat Age Groups,50-64,310357,259070
5Cat Age Groups,65+,264012,208582
Gender,Female,704975,601643
Gender,Male,654476,510060
Gender,Other,208,185
Gender,Unknown,2367,1938
Race/Ethnicity,Hispanic,581640,486182
Race/Ethnicity,NH White,380214,311993
Race/Ethnicity,NH Asian,33336,29222
Race/Ethnicity,NH Black,61603,43844
Race/Ethnicity,NH Other,210991,178877
Race/Ethnicity,Unknown,94242,63708
MultiCat Age Groups,15-Dec,70821,55989
MultiCat Age Groups,16-18,60259,49098
MultiCat Age Groups,19-29,219925,180770
MultiCat Age Groups,30-39,213394,181355
MultiCat Age Groups,40-49,206855,178962
MultiCat Age Groups,50-59,200572,177317
MultiCat Age Groups,60-64,91128,81753
MultiCat Age Groups,65-75,151339,136390
MultiCat Age Groups,76-85,60530,53907
MultiCat Age Groups,86-95,19254,16839
MultiCat Age Groups,30-39,205832,170154
MultiCat Age Groups,40-49,201384,170566
MultiCat Age Groups,50-59,196553,171236
MultiCat Age Groups,60-64,89626,79478
MultiCat Age Groups,65-75,148578,133208
MultiCat Age Groups,76-85,59241,52625
MultiCat Age Groups,86-95,18759,16375
MultiCat Age Groups,96+,1724,1404
5Cat Age Groups,12+,1458525,1191883
5Cat Age Groups,16+,1390301,1142493
5Cat Age Groups,18+,1351680,1112536
5Cat Age Groups,18-49,641179,529821
5Cat Age Groups,50-64,305720,252335
5Cat Age Groups,65+,259869,204563
